model_name,input_tokens,output_tokens,num_requests,concurrent_requests,qps,qps_distribution,multimodal_img_size
Meta-Llama-3.1-8B-Instruct,3900,100,1,1,,,
Meta-Llama-3.1-8B-Instruct,3900,100,3,3,,,
Meta-Llama-3.1-8B-Instruct,3900,100,5,5,,,
Meta-Llama-3.1-8B-Instruct,3900,100,9,9,,,
Meta-Llama-3.1-8B-Instruct,3900,100,16,16,,,
Meta-Llama-3.1-8B-Instruct,8000,100,1,1,,,
Meta-Llama-3.1-8B-Instruct,8000,100,3,3,,,
Meta-Llama-3.1-8B-Instruct,8000,100,5,5,,,
Meta-Llama-3.1-8B-Instruct,8000,100,9,9,,,
Meta-Llama-3.1-8B-Instruct,8000,100,16,16,,,
Meta-Llama-3.1-8B-Instruct,16000,100,3,3,,,
Meta-Llama-3.1-8B-Instruct,16000,100,9,9,,,
Meta-Llama-3.1-8B-Instruct,16000,100,16,16,,,
Meta-Llama-3.1-8B-Instruct,32000,100,3,3,,,
Meta-Llama-3.1-8B-Instruct,32000,100,5,5,,,
Meta-Llama-3.1-8B-Instruct,32000,100,9,9,,,
Meta-Llama-3.1-8B-Instruct,32000,100,16,16,,,
Hermes-3-Llama-3.1-8B,3900,100,1,1,,,
Hermes-3-Llama-3.1-8B,3900,100,3,3,,,
Hermes-3-Llama-3.1-8B,3900,100,5,5,,,
Hermes-3-Llama-3.1-8B,3900,100,9,9,,,
Hermes-3-Llama-3.1-8B,3900,100,16,16,,,
Hermes-3-Llama-3.1-8B,8000,100,1,1,,,
Hermes-3-Llama-3.1-8B,8000,100,3,3,,,
Hermes-3-Llama-3.1-8B,8000,100,5,5,,,
Hermes-3-Llama-3.1-8B,8000,100,9,9,,,
Hermes-3-Llama-3.1-8B,8000,100,16,16,,,
Hermes-3-Llama-3.1-8B,16000,100,3,3,,,
Hermes-3-Llama-3.1-8B,16000,100,9,9,,,
Hermes-3-Llama-3.1-8B,16000,100,16,16,,,
Hermes-3-Llama-3.1-8B,32000,100,3,3,,,
Hermes-3-Llama-3.1-8B,32000,100,5,5,,,
Hermes-3-Llama-3.1-8B,32000,100,9,9,,,
Hermes-3-Llama-3.1-8B,32000,100,16,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,1,1,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,3,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,5,5,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,9,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,16,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,1,1,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,3,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,5,5,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,9,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,16,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,16000,100,3,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,16000,100,9,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,16000,100,16,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,3,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,5,5,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,9,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,16,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,1,1,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,3,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,5,5,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,9,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,16,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,1,1,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,3,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,5,5,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,9,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,16,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,16000,100,3,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,16000,100,9,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,16000,100,16,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,3,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,5,5,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,9,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,16,16,,,
Llama-3.1-EIRAI-8B,3900,100,1,1,,,
Llama-3.1-EIRAI-8B,3900,100,3,3,,,
Llama-3.1-EIRAI-8B,3900,100,5,5,,,
Llama-3.1-EIRAI-8B,3900,100,9,9,,,
Llama-3.1-EIRAI-8B,3900,100,16,16,,,
