,start_time,end_time,speaker,text
0,3,13.1,SPEAKER_00,"Thank you for calling acme Bank. My name is Adam, and i'll be happy to assist you today. May i know who i am speaking with? This, this is Kim. Hello, Kim."
1,16,23.5,SPEAKER_00,"Before I can help, I need some information to verify you. Can I please have the Emel address associated with your account."
2,25,28.8,SPEAKER_01,It's Kim Dot Anderson at G Mail dot Com.
3,31,33.6,SPEAKER_00,"And can I have your date of birth, please?"
4,35,38.9,SPEAKER_01,"Sure, it's January 12th, 19 92."
5,40,45.1,SPEAKER_00,Thank you for banking with us for over 7 years. What can I help you with today.
6,47,56.1,SPEAKER_01,I see a charge of $35 from the bank in my checking account and I'm not sure what's for. It's been happening for at least 6 months.
7,58,70.0,SPEAKER_00,I'm sorry to hear that. Let me see what that is for. I see that you have a private client checking account. This charge is the monthly service fee that is required to maintain it.
8,73,82.8,SPEAKER_01,"What, I was never made aware of this wise on my accounts. I didn't even know I had this type O of of an account until he just told me This isn't right."
9,84,95.5,SPEAKER_00,"I apologize that you were not made aware of the chart and benefits of your private client account. Um, would it help if I removed a monthly fee for a account for this year? Yeah, sure."
10,100,106.3,SPEAKER_00,I've removed the monthly fee for this year. Would you like me to email you with a coporaount of benefits.
11,107,108.9,SPEAKER_01,"Yes, please, that will be great."
12,111,118.4,SPEAKER_00,I've sent you an email with an attachment that provides in an overview. Is there anything else I can help you with today.
13,120,123.4,SPEAKER_01,"No, that would be an all. You've been great. Thank you for your help."
